acq_year,groupname,count
2012,barata livramento,5
2013,barata livramento,2
2014,barata livramento,5
2015,barata livramento,4
2016,barata livramento,9
2017,barata livramento,5
2018,barata livramento,8
2019,barata livramento,6
2001,barpo de antonina,2
2002,barpo de antonina,18
2003,barpo de antonina,6
2004,barpo de antonina,17
2005,barpo de antonina,2
2006,barpo de antonina,18
2007,barpo de antonina,7
2008,barpo de antonina,2
2009,barpo de antonina,3
2010,barpo de antonina,2
2011,barpo de antonina,3
2013,barpo de antonina,2
2014,barpo de antonina,1
2015,barpo de antonina,5
2016,barpo de antonina,3
2017,barpo de antonina,2
2018,barpo de antonina,3
2019,barpo de antonina,4
2000,barra velha,2
2001,barra velha,18
2002,barra velha,48
2003,barra velha,66
2004,barra velha,20
2005,barra velha,31
2006,barra velha,5
2007,barra velha,10
2008,barra velha,42
2009,barra velha,20
2010,barra velha,31
2011,barra velha,4
2012,barra velha,16
2013,barra velha,39
2014,barra velha,13
2015,barra velha,50
2016,barra velha,33
2017,barra velha,5
2018,barra velha,13
2019,barra velha,55
2002,barreira da misspo,5
2003,barreira da misspo,9
2004,barreira da misspo,6
2006,barreira da misspo,9
2007,barreira da misspo,2
2008,barreira da misspo,2
2009,barreira da misspo,2
2010,barreira da misspo,9
2011,barreira da misspo,2
2012,barreira da misspo,4
2013,barreira da misspo,5
2014,barreira da misspo,7
2015,barreira da misspo,4
2016,barreira da misspo,8
2017,barreira da misspo,11
2018,barreira da misspo,6
2019,barreira da misspo,5
2004,barreirinha,2
2005,barreirinha,1
2008,barreirinha,2
2011,barreirinha,1
2012,barreirinha,1
2013,barreirinha,1
2014,barreirinha,1
2015,barreirinha,2
2017,barreirinha,3
2018,barreirinha,1
2012,barro alto,1
2017,barro alto,1
2000,batelpo,6
2001,batelpo,16
2002,batelpo,64
2003,batelpo,123
2004,batelpo,228
2005,batelpo,129
2006,batelpo,118
2007,batelpo,510
2008,batelpo,60
2009,batelpo,56
2010,batelpo,78
2011,batelpo,19
2012,batelpo,25
2013,batelpo,28
2014,batelpo,135
2015,batelpo,37
2016,batelpo,26
2017,batelpo,14
2018,batelpo,16
2019,batelpo,11
2001,batovi,2
2004,batovi,6
2007,batovi,1
2010,batovi,30
2011,batovi,2
2013,batovi,1
2015,batovi,2
2018,batovi,2
2019,batovi,3
2003,betania,1
2004,betania,2
2005,betania,11
2006,betania,6
2007,betania,3
2008,betania,7
2009,betania,1
2010,betania,13
2011,betania,2
2012,betania,6
2013,betania,1
2014,betania,2
2015,betania,9
2016,betania,3
2017,betania,12
2018,betania,3
2019,betania,4
2001,boa vista pr,1
2002,boa vista pr,13
2003,boa vista pr,9
2004,boa vista pr,5
2005,boa vista pr,1
2006,boa vista pr,3
2009,boa vista pr,3
2010,boa vista pr,1
2011,boa vista pr,5
2012,boa vista pr,3
2014,boa vista pr,1
2016,boa vista pr,5
2017,boa vista pr,3
2018,boa vista pr,2
2019,boa vista pr,2
2001,boca do acre,1
2002,boca do acre,7
2003,boca do acre,11
2004,boca do acre,10
2005,boca do acre,10
2006,boca do acre,8
2007,boca do acre,14
2008,boca do acre,4
2009,boca do acre,1
2010,boca do acre,16
2011,boca do acre,2
2012,boca do acre,6
2013,boca do acre,1
2014,boca do acre,8
2015,boca do acre,11
2016,boca do acre,15
2017,boca do acre,7
2018,boca do acre,8
2019,boca do acre,9
2003,bom jesus,1
2005,bom jesus,2
2009,bom jesus,1
2001,boqueirpo,5
2002,boqueirpo,2
2003,boqueirpo,11
2004,boqueirpo,7
2005,boqueirpo,3
2006,boqueirpo,6
2007,boqueirpo,10
2008,boqueirpo,2
2009,boqueirpo,8
2010,boqueirpo,3
2011,boqueirpo,4
2012,boqueirpo,3
2013,boqueirpo,8
2014,boqueirpo,11
2015,boqueirpo,11
2016,boqueirpo,8
2017,boqueirpo,9
2018,boqueirpo,10
2019,boqueirpo,13
2002,bragantamarituba,4
2003,bragantamarituba,5
2004,bragantamarituba,2
2005,bragantamarituba,1
2006,bragantamarituba,1
2007,bragantamarituba,1
2008,bragantamarituba,5
2009,bragantamarituba,1
2010,bragantamarituba,1
2014,bragantamarituba,1
2015,bragantamarituba,10
2016,bragantamarituba,3
2006,brejo do burgo,2
2001,buriti,2
2002,buriti,15
2003,buriti,4
2004,buriti,6
2005,buriti,11
2006,buriti,9
2007,buriti,12
2009,buriti,3
2010,buriti,27
2011,buriti,1
2012,buriti,2
2013,buriti,6
2014,buriti,19
2015,buriti,12
2016,buriti,35
2017,buriti,32
2018,buriti,3
2019,buriti,4
2002,crrego jopo pereira,9
2003,crrego jopo pereira,3
2004,crrego jopo pereira,7
2006,crrego jopo pereira,4
2008,crrego jopo pereira,7
2009,crrego jopo pereira,3
2010,crrego jopo pereira,6
2011,crrego jopo pereira,6
2012,crrego jopo pereira,6
2013,crrego jopo pereira,1
2014,crrego jopo pereira,5
2016,crrego jopo pereira,2
2017,crrego jopo pereira,8
2001,caarap,2
2002,caarap,10
2003,caarap,5
2004,caarap,34
2005,caarap,9
2006,caarap,9
2007,caarap,21
2008,caarap,6
2009,caarap,2
2010,caarap,16
2011,caarap,10
2012,caarap,7
2013,caarap,17
2014,caarap,4
2015,caarap,1
2016,caarap,9
2017,caarap,11
2018,caarap,4
2019,caarap,10
2002,cabeceira do rio acre,2
2003,cabeceira do rio acre,3
2004,cabeceira do rio acre,1
2005,cabeceira do rio acre,2
2006,cabeceira do rio acre,2
2007,cabeceira do rio acre,5
2008,cabeceira do rio acre,3
2011,cabeceira do rio acre,1
2012,cabeceira do rio acre,1
2015,cabeceira do rio acre,4
2016,cabeceira do rio acre,3
2018,cabeceira do rio acre,5
2019,cabeceira do rio acre,5
2002,cacau do tarauaca,3
2003,cacau do tarauaca,3
2005,cacau do tarauaca,2
2006,cacau do tarauaca,3
2007,cacau do tarauaca,2
2008,cacau do tarauaca,5
2009,cacau do tarauaca,2
2010,cacau do tarauaca,2
