ACQ_YEAR,Name,n()
2011,Awa,144
2012,Awa,356
2013,Awa,98
2014,Awa,94
2015,Awa,413
2016,Awa,39
2017,Awa,116
2018,Awa,32
2019,Awa,5
2002,Ba·,4
2003,Ba·,8
2004,Ba·,8
2005,Ba·,10
2006,Ba·,9
2007,Ba·,9
2008,Ba·,14
2009,Ba·,9
2010,Ba·,13
2011,Ba·,8
2012,Ba·,26
2013,Ba·,5
2014,Ba·,23
2015,Ba·,16
2016,Ba·,3
2017,Ba·,33
2018,Ba·,11
2019,Ba·,10
2001,Bacurizinho,42
2002,Bacurizinho,136
2003,Bacurizinho,200
2004,Bacurizinho,101
2005,Bacurizinho,237
2006,Bacurizinho,56
2007,Bacurizinho,781
2008,Bacurizinho,103
2009,Bacurizinho,35
2010,Bacurizinho,885
2011,Bacurizinho,103
2012,Bacurizinho,1077
2013,Bacurizinho,175
2014,Bacurizinho,972
2015,Bacurizinho,551
2016,Bacurizinho,407
2017,Bacurizinho,940
2018,Bacurizinho,120
2019,Bacurizinho,155
2001,Badjonkore,2
2002,Badjonkore,293
2003,Badjonkore,6
2004,Badjonkore,233
2005,Badjonkore,18
2006,Badjonkore,101
2007,Badjonkore,184
2008,Badjonkore,146
2009,Badjonkore,7
2010,Badjonkore,535
2011,Badjonkore,7
2012,Badjonkore,238
2013,Badjonkore,52
2014,Badjonkore,53
2015,Badjonkore,238
2016,Badjonkore,7
2017,Badjonkore,555
2018,Badjonkore,1
2019,Badjonkore,351
2001,Baia do Guat=,4
2002,Baia do Guat=,1
2004,Baia do Guat=,19
2005,Baia do Guat=,102
2007,Baia do Guat=,40
2008,Baia do Guat=,42
2009,Baia do Guat=,2
2010,Baia do Guat=,185
2012,Baia do Guat=,6
2013,Baia do Guat=,60
2014,Baia do Guat=,12
2015,Baia do Guat=,65
2016,Baia do Guat=,49
2017,Baia do Guat=,84
2018,Baia do Guat=,9
2019,Baia do Guat=,4
2000,Bakairi,4
2001,Bakairi,57
2002,Bakairi,161
2003,Bakairi,91
2004,Bakairi,295
2005,Bakairi,104
2006,Bakairi,99
2007,Bakairi,228
2008,Bakairi,90
2009,Bakairi,39
2010,Bakairi,183
2011,Bakairi,94
2012,Bakairi,152
2013,Bakairi,45
2014,Bakairi,51
2015,Bakairi,73
2016,Bakairi,65
2017,Bakairi,112
2018,Bakairi,85
2019,Bakairi,81
2002,Balaio,3
2006,Balaio,1
2007,Balaio,3
2008,Balaio,4
2010,Balaio,2
2011,Balaio,2
2013,Balaio,1
2014,Balaio,1
2015,Balaio,3
2018,Balaio,2
2019,Balaio,1
2003,Banawß,2
2004,Banawß,1
2005,Banawß,3
2006,Banawß,2
2007,Banawß,2
2010,Banawß,5
2018,Banawß,1
2001,Barata Livramento,8
2002,Barata Livramento,2
2003,Barata Livramento,7
2004,Barata Livramento,6
2005,Barata Livramento,8
2006,Barata Livramento,5
2007,Barata Livramento,5
2008,Barata Livramento,11
2009,Barata Livramento,10
2010,Barata Livramento,2
2011,Barata Livramento,10
2012,Barata Livramento,5
2013,Barata Livramento,2
2014,Barata Livramento,5
2015,Barata Livramento,4
